,brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,estimated_range,range_diff_pct,range_per_kWh,speed_efficiency_ratio,performance_index,range_category,charge_rate_kw_per_kWh,eco_score,battery_capacity_binned,range_binned,battery_capacity_binarized,range_binarized
243,Mercedes-Benz,EQS SUV 450 4MATIC,210,118.0,Lithium-ion,800.0,199,530,6.1,160.0,CCS,1800.0,645,7,AWD,JF - Luxury,SUV,592.964824120603,11.880155494453396,4.491525423728813,1.0552763819095476,34.42622950819673,Gjatë,1.3559322033898304,2.5951325116831727,4,3,1.0,1
244,Mercedes-Benz,EQS SUV 450+,210,118.0,Lithium-ion,568.0,195,540,6.8,160.0,CCS,750.0,645,7,RWD,JF - Luxury,SUV,605.1282051282051,12.060778727445385,4.576271186440678,1.0769230769230769,30.88235294117647,Gjatë,1.3559322033898304,2.640624281003144,4,3,1.0,1
245,Mercedes-Benz,EQS SUV 500 4MATIC,210,118.0,Lithium-ion,828.0,199,530,5.3,160.0,CCS,1800.0,645,7,AWD,JF - Luxury,SUV,592.964824120603,11.880155494453396,4.491525423728813,1.0552763819095476,39.62264150943396,Gjatë,1.3559322033898304,2.600081475493875,4,3,1.0,1
246,Mercedes-Benz,EQS SUV 580 4MATIC,210,118.0,Lithium-ion,858.0,199,530,4.7,160.0,CCS,1800.0,13 Banana Boxes,7,AWD,JF - Luxury,SUV,592.964824120603,11.880155494453396,4.491525423728813,1.0552763819095476,44.680851063829785,Gjatë,1.3559322033898304,2.6048988179266326,4,3,1.0,1
247,Mercedes-Benz,EQS SUV Maybach 680,210,118.0,Lithium-ion,950.0,211,490,4.4,160.0,CCS,1800.0,440,4,AWD,JF - Luxury,SUV,559.2417061611375,14.130960441048462,4.1525423728813555,0.995260663507109,47.72727272727273,Mesatar,1.3559322033898304,2.4203039309473557,4,3,1.0,1
248,Mercedes-Benz,EQT 200 Long,132,45.0,Lithium-ion,245.0,177,220,13.3,50.0,CCS,1500.0,828,7,FWD,N - Passenger Van,Small Passenger Van,254.23728813559322,15.562403697996919,4.888888888888889,0.7457627118644068,9.924812030075188,Shkurt,1.1111111111111112,2.683210851988729,1,0,1.0,1
249,Mercedes-Benz,EQT 200 Standard,132,45.0,Lithium-ion,245.0,167,225,12.6,50.0,CCS,1500.0,551,5,FWD,N - Passenger Van,Small Passenger Van,269.4610778443114,19.760479041916167,5.0,0.7904191616766467,10.476190476190476,Shkurt,1.1111111111111112,2.75299876437601,1,0,1.0,1
250,Mercedes-Benz,EQV 250 Extra-Long,160,60.0,Lithium-ion,365.0,282,210,12.0,60.0,CCS,0.0,1410,7,FWD,N - Passenger Van,Small Passenger Van,212.7659574468085,1.3171225937183333,3.5,0.5673758865248227,13.333333333333334,Shkurt,1.0,1.9368794326241134,2,0,1.0,1
251,Mercedes-Benz,EQV 250 Long,160,60.0,Lithium-ion,365.0,282,215,12.0,60.0,CCS,0.0,1030,7,FWD,N - Passenger Van,Small Passenger Van,212.7659574468085,1.0390895596239536,3.5833333333333335,0.5673758865248227,13.333333333333334,Shkurt,1.0,1.9785460992907802,2,0,1.0,1
252,Mercedes-Benz,EQV 300 Extra-Long,140,90.0,Lithium-ion,365.0,249,315,12.2,96.0,CCS,0.0,1410,7,FWD,N - Passenger Van,Small Passenger Van,361.4457831325301,14.744693057946062,3.5,0.5622489959839357,11.475409836065575,Mesatar,1.0666666666666667,1.9350681414181314,3,1,1.0,1
253,Mercedes-Benz,EQV 300 Long,160,90.0,Lithium-ion,365.0,276,320,12.1,96.0,CCS,0.0,1030,7,FWD,N - Passenger Van,Small Passenger Van,326.0869565217391,1.9021739130434767,3.5555555555555554,0.5797101449275363,13.223140495867769,Mesatar,1.0666666666666667,1.968219746875873,3,1,1.0,1
254,Mercedes-Benz,G 580,180,116.0,Lithium-ion,1164.0,267,360,4.7,150.0,CCS,0.0,555,5,AWD,JF - Luxury,SUV,434.4569288389513,20.682480233042025,3.103448275862069,0.6741573033707865,38.29787234042553,Mesatar,1.293103448275862,1.7965245204316322,4,2,1.0,1
255,Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,160,60.0,Lithium-ion,360.0,254,215,12.0,60.0,CCS,0.0,1390,8,FWD,N - Passenger Van,Small Passenger Van,236.2204724409449,9.869987181834832,3.5833333333333335,0.6299212598425197,13.333333333333334,Shkurt,1.0,1.9973097112860891,2,0,1.0,1
256,Mercedes-Benz,eVito Tourer Long 60 kWh,160,60.0,Lithium-ion,360.0,259,220,12.0,60.0,CCS,0.0,990,8,FWD,N - Passenger Van,Small Passenger Van,231.66023166023166,5.3001053001053,3.6666666666666665,0.6177606177606177,13.333333333333334,Shkurt,1.0,2.035328185328185,2,0,1.0,1
257,Mercedes-Benz,eVito Tourer Long 90 kWh,160,90.0,Lithium-ion,360.0,260,325,12.1,96.0,CCS,0.0,990,8,FWD,N - Passenger Van,Small Passenger Van,346.15384615384613,6.508875739644964,3.611111111111111,0.6153846153846154,13.223140495867769,Mesatar,1.0666666666666667,2.006699865790775,3,1,1.0,1
258,Mini,Aceman E,160,38.5,Lithium-ion,290.0,129,230,7.9,60.0,CCS,750.0,300,5,FWD,JB - Compact,SUV,298.4496124031008,29.760701044826426,5.974025974025974,1.2403100775193798,20.253164556962023,Shkurt,1.5584415584415585,3.3844224659650033,0,0,1.0,1
259,Mini,Aceman JCW,200,49.2,Lithium-ion,350.0,143,280,6.4,75.0,CCS,750.0,300,5,FWD,JB - Compact,SUV,344.05594405594405,22.877122877122876,5.691056910569105,1.3986013986013985,31.25,Shkurt,1.524390243902439,3.296358874864972,1,1,1.0,1
260,Mini,Aceman SE,170,49.2,Lithium-ion,330.0,129,290,7.1,75.0,CCS,750.0,300,5,FWD,JB - Compact,SUV,381.3953488372093,31.515637530072183,5.89430894308943,1.317829457364341,23.943661971830988,Shkurt,1.524390243902439,3.3706723228385242,1,1,1.0,1
261,Mini,Cooper E,160,36.6,Lithium-ion,290.0,125,250,7.3,60.0,CCS,0.0,200,4,FWD,B - Compact,Hatchback,292.8,17.120000000000005,6.830601092896175,1.28,21.91780821917808,Shkurt,1.639344262295082,3.82669780672206,0,1,1.0,1
262,Mini,Cooper JCW,200,49.2,Lithium-ion,350.0,135,290,5.9,75.0,CCS,0.0,200,4,FWD,B - Compact,Hatchback,364.44444444444446,25.670498084291193,5.89430894308943,1.4814814814814814,33.89830508474576,Shkurt,1.524390243902439,3.425497221073905,1,1,1.0,1
263,Mini,Cooper SE,170,49.2,Lithium-ion,330.0,127,330,6.7,75.0,CCS,0.0,200,4,FWD,B - Compact,Hatchback,387.40157480314963,17.39441660701504,6.7073170731707314,1.3385826771653544,25.37313432835821,Mesatar,1.524390243902439,3.785084086003629,1,1,1.0,1
264,Mini,Countryman E,170,64.6,Lithium-ion,250.0,140,380,8.6,94.0,CCS,750.0,460,5,FWD,JC - Medium,SUV,461.4285714285714,21.42857142857142,5.882352941176471,1.2142857142857142,19.767441860465116,Mesatar,1.455108359133127,3.3287179988274382,2,2,1.0,1
265,Mini,Countryman SE ALL4,180,64.6,Lithium-ion,494.0,149,365,5.6,94.0,CCS,1200.0,460,5,AWD,JC - Medium,SUV,433.55704697986573,18.78275259722349,5.65015479876161,1.2080536912751678,32.142857142857146,Mesatar,1.455108359133127,3.223207792477641,2,2,1.0,1
266,NIO,EL6 Long Range,200,90.0,Lithium-ion,700.0,170,435,4.5,135.0,CCS,1200.0,579,5,AWD,JE - Executive,SUV,529.4117647058823,21.703853955375248,4.833333333333333,1.1764705882352942,44.44444444444444,Mesatar,1.5,2.814052287581699,3,2,1.0,1
267,NIO,EL6 Standard Range,200,73.5,Lithium-ion,700.0,181,365,4.5,110.0,CCS,1200.0,579,5,AWD,JE - Executive,SUV,406.0773480662983,11.254067963369405,4.965986394557823,1.1049723756906078,44.44444444444444,Mesatar,1.4965986394557824,2.858929354430538,2,2,1.0,1
268,NIO,EL7 Long Range,200,90.0,Lithium-ion,850.0,185,430,3.9,100.0,CCS,2000.0,570,5,AWD,JF - Luxury,SUV,486.4864864864865,13.136392206159652,4.777777777777778,1.0810810810810811,51.282051282051285,Mesatar,1.1111111111111112,2.764495264495264,3,2,1.0,1
269,NIO,EL7 Standard Range,200,73.5,Lithium-ion,850.0,198,355,3.9,110.0,CCS,2000.0,570,5,AWD,JF - Luxury,SUV,371.2121212121212,4.5667947076397715,4.829931972789115,1.0101010101010102,51.282051282051285,Mesatar,1.4965986394557824,2.769278340706912,2,2,1.0,1
270,NIO,EL8 Long Range,200,90.0,Lithium-ion,850.0,185,440,4.1,190.0,CCS,2000.0,265,6,AWD,JF - Luxury,SUV,486.4864864864865,10.56511056511057,4.888888888888889,1.0810810810810811,48.78048780487805,Mesatar,2.111111111111111,2.8175492565736473,3,2,1.0,1
271,NIO,EL8 Standard Range,200,73.5,Lithium-ion,850.0,196,360,4.1,110.0,CCS,2000.0,265,6,AWD,JF - Luxury,SUV,375.0,4.166666666666666,4.8979591836734695,1.0204081632653061,48.78048780487805,Mesatar,1.4965986394557824,2.803882528621205,2,2,1.0,1
272,NIO,ET5 Long Range,200,90.0,Lithium-ion,700.0,167,500,4.0,100.0,CCS,1400.0,386,5,AWD,E - Executive,Sedan,538.9221556886228,7.78443113772455,5.555555555555555,1.1976047904191616,50.0,Mesatar,1.1111111111111112,3.1870592149035257,3,3,1.0,1
273,NIO,ET5 Standard Range,200,73.5,Lithium-ion,700.0,175,410,4.0,110.0,CCS,1400.0,386,5,AWD,E - Executive,Sedan,420.0,2.4390243902439024,5.578231292517007,1.1428571428571428,50.0,Mesatar,1.4965986394557824,3.181972789115646,2,2,1.0,1
274,NIO,ET5 Touring Long Range,200,90.0,Lithium-ion,700.0,178,485,4.0,135.0,CCS,1400.0,450,5,AWD,E - Executive,Station/Estate,505.6179775280899,4.251129387235033,5.388888888888889,1.1235955056179776,50.0,Mesatar,1.5,3.0815230961298377,3,3,1.0,1
275,NIO,ET5 Touring Standard Range,200,73.5,Lithium-ion,700.0,169,400,4.0,110.0,CCS,1400.0,450,5,AWD,E - Executive,Station/Estate,434.9112426035503,8.727810650887577,5.442176870748299,1.183431952662722,50.0,Mesatar,1.4965986394557824,3.126118021172966,2,2,1.0,1
